City_ID,City,Lat,Lng,Max Temp °K,Humidity,Cloudiness,Wind Speed,Country,Date,Max Temp °C
198,geraldton,-28.7667,114.6,293.38,83,40,3.6,AU,1675791180,20.230000000000015
199,wheeling,42.1392,-87.929,276.62,82,100,8.75,US,1675791237,3.4700000000000277
200,nhulunbuy,-12.2333,136.7667,300.49,83,100,0.0,AU,1675791426,27.340000000000032
201,bessemer,33.4018,-86.9544,292.73,50,91,0.89,US,1675791163,19.58000000000004
202,teguldet,57.3064,88.1667,263.54,95,100,2.97,RU,1675791428,-9.609999999999957
203,babadag,44.9,28.7167,271.08,80,100,5.66,RO,1675791429,-2.069999999999993
204,belokurikha,51.9959,84.9896,267.28,97,100,0.13,RU,1675791431,-5.8700000000000045
205,kiunga,-6.1219,141.2906,296.02,99,100,0.79,PG,1675791432,22.870000000000005
206,karratha,-20.7377,116.8463,303.51,60,19,3.95,AU,1675791433,30.360000000000014
207,chicama,-7.8447,-79.1469,294.45,54,55,4.95,PE,1675791433,21.30000000000001
208,djibo,14.1022,-1.6306,305.79,11,49,4.04,BF,1675791434,32.64000000000004
209,tucuma,-0.1833,-50.05,300.3,83,80,3.31,BR,1675791434,27.150000000000038
210,cumberland,35.0502,-78.8664,291.75,48,0,2.57,US,1675791407,18.600000000000023
211,bani walid,31.7566,13.9942,285.3,52,51,6.81,LY,1675791435,12.150000000000034
212,cockburn town,21.4612,-71.1419,298.2,76,1,9.01,TC,1675791298,25.05000000000001
213,clyde river,70.4692,-68.5914,240.28,68,75,1.03,CA,1675791436,-32.869999999999976
214,pangody,65.85,74.4859,246.3,100,100,2.77,RU,1675791438,-26.84999999999997
215,kinablangan,7.6947,126.5503,297.34,83,100,1.95,PH,1675791439,24.19
216,provideniya,64.3833,-173.3,246.52,93,71,1.36,RU,1675791440,-26.629999999999967
217,mutis,6.2262,-77.4044,301.1,79,59,1.46,CO,1675791440,27.950000000000045
218,nizwa,22.9333,57.5333,296.72,28,40,0.53,OM,1675791442,23.57000000000005
219,tual,-5.6667,132.75,300.57,77,100,8.63,ID,1675791158,27.420000000000016
220,port blair,11.6667,92.75,300.17,78,40,3.09,IN,1675791443,27.02000000000004
221,ancud,-41.8697,-73.8203,290.99,70,3,3.78,CL,1675791260,17.840000000000032
222,alpena,45.0617,-83.4327,278.81,96,100,5.36,US,1675791444,5.660000000000025
223,tyukhtet,56.5389,89.3011,264.88,92,100,3.05,RU,1675791444,-8.269999999999982
224,belaya gora,68.5333,146.4167,231.29,100,99,0.73,RU,1675791445,-41.85999999999999
225,saint-philippe,-21.3585,55.7679,299.92,85,59,6.17,RE,1675791445,26.77000000000004
226,lorengau,-2.0226,147.2712,299.06,91,100,6.34,PG,1675791445,25.910000000000025
227,nemuro,43.3236,145.575,269.13,89,95,3.81,JP,1675791446,-4.019999999999982
228,goderich,43.7501,-81.7165,280.32,81,88,8.75,CA,1675791447,7.170000000000016
229,port elizabeth,-33.918,25.5701,295.55,91,20,5.14,ZA,1675791412,22.400000000000038
230,leningradskiy,69.3833,178.4167,241.49,97,100,2.73,RU,1675791447,-31.659999999999968
231,hay river,60.8156,-115.7999,254.14,71,40,6.69,CA,1675791449,-19.00999999999999
232,lac du bonnet,50.2536,-96.0612,264.91,82,84,1.75,CA,1675791450,-8.239999999999952
233,deyang,31.1302,104.382,283.6,82,100,0.56,CN,1675791450,10.450000000000044
234,georgetown,5.4112,100.3354,296.85,87,95,3.26,MY,1675791077,23.700000000000045
235,grindavik,63.8424,-22.4338,271.12,86,75,13.38,IS,1675791451,-2.0299999999999727
236,saint-augustin,51.226,-58.6502,259.92,58,3,1.04,CA,1675791452,-13.22999999999996
237,tiarei,-17.5333,-149.3333,300.16,68,20,4.84,PF,1675791453,27.010000000000048
238,imbituba,-28.24,-48.6703,300.24,65,3,4.6,BR,1675791453,27.090000000000032
239,beringovskiy,63.05,179.3167,244.72,96,100,3.48,RU,1675791408,-28.42999999999998
240,kodinsk,58.6881,99.1844,258.79,97,100,1.41,RU,1675791454,-14.359999999999957
241,hastings,50.8552,0.5729,278.84,73,2,4.25,GB,1675791265,5.689999999999998
242,raga,8.4596,25.678,299.31,12,83,2.1,SS,1675791455,26.160000000000025
243,obidos,-1.9175,-55.5181,302.58,71,75,1.58,BR,1675791456,29.430000000000007
244,acara,-1.9608,-48.1967,301.66,85,61,1.53,BR,1675791456,28.510000000000048
245,cumana,10.4635,-64.1775,299.77,72,88,5.93,VE,1675791457,26.620000000000005
246,tubuala,9.5167,-79.0333,299.85,80,96,7.14,PA,1675791457,26.700000000000045
247,nam som,17.7704,102.1895,297.64,58,28,1.4,TH,1675791458,24.49000000000001
248,merrill,45.1805,-89.6835,275.31,73,100,5.66,US,1675791458,2.160000000000025
